iter	Passed	Remaining
713	268852	672507
714	269273	672243
715	269651	671868
716	270005	671437
717	270392	671084
718	270773	670720
719	271179	670416
720	271549	670022
721	271923	669638
722	272327	669329
723	272690	668921
724	273035	668466
725	273402	668065
726	273777	667685
727	274183	667379
728	274585	667065
729	274988	666751
730	275349	666338
731	275749	666018
732	276147	665692
733	276513	665289
734	276859	664840
735	277236	664463
736	277634	664137
737	278015	663771
738	278388	663385
739	278776	663035
740	279151	662655
741	279506	662225
742	279874	661830
743	280233	661412
744	280609	661032
745	281031	660764
746	281504	660611
747	281909	660300
748	282283	659917
749	282687	659603
750	283114	659344
751	283490	658964
752	283876	658609
753	284293	658324
754	284687	657985
755	285078	657641
756	285534	657445
757	286012	657300
758	286467	657102
759	286949	656964
760	287395	656741
761	287783	656387
762	288124	655925
763	288524	655600
764	288865	655140
765	289230	654733
766	289628	654402
767	290016	654047
768	290412	653711
769	290753	653251
770	291162	652944
771	291569	652632
772	291936	652230
773	292324	651876
774	292721	651540
775	293092	651147
776	293457	650742
777	293805	650299
778	294181	649919
779	294596	649622
780	294963	649221
781	295359	648885
782	295742	648518
783	296139	648182
784	296509	647787
785	296900	647440
786	297260	647022
787	297644	646658
788	298028	646296
789	298399	645901
790	298741	645447
791	299095	645019
792	299463	644621
793	299844	644250
794	300227	643883
795	300597	643490
796	300958	643077
797	301329	642685
798	301677	642245
799	302069	641896
800	302417	641456
801	302799	641089
802	303182	640722
803	303564	640354
804	303900	639890
805	304274	639505
806	304621	639063
807	304983	638652
808	305356	638267
809	305752	637927
810	306109	637506
811	306455	637064
812	306790	636599
813	307151	636188
814	307511	635775
815	307860	635339
816	308253	634995
817	308527	634403
818	308897	634012
819	309226	633537
820	309586	633125
821	309987	632797
822	310372	632434
823	310786	632134
824	311158	631745
825	311561	631420
826	311947	631061
827	312293	630622
828	312635	630173
829	312994	629760
830	313363	629366
831	313748	629006
832	314136	628650
833	314499	628244
834	314888	627891
835	315266	627516
836	315611	627075
837	316053	626827
838	316387	626364
839	316756	625971
840	317095	625518
841	317447	625093
842	317831	624729
843	318224	624382
844	318652	624106
845	319068	623805
846	319462	623461
847	319840	623084
848	320237	622747
849	320612	622365
850	320988	621985
851	321379	621634
852	321663	621078
853	322037	620694
854	322373	620239
855	322729	619821
856	323075	619385
857	323395	618899
858	323777	618530
859	324169	618183
860	324519	617756
861	324867	617323
862	325221	616903
863	325625	616577
864	326016	616226
865	326395	615855
866	326776	615485
867	327156	615114
868	327550	614768
869	327917	614374
870	328329	614061
871	328689	613653
872	329032	613214
873	329379	612782
874	329760	612411
875	330103	611973
876	330450	611539
877	330799	611112
878	331146	610681
879	331496	610255
880	331856	609846
881	332200	609410
882	332542	608970
883	332873	608510
884	333236	608110
885	333576	607667
886	333928	607245
887	334268	606803
888	334617	606376
889	334984	605982
890	335334	605559
891	335667	605104
892	335996	604642
893	336373	604269
894	336793	603969
895	337152	603562
896	337577	603274
897	337940	602874
898	338338	602536
899	338727	602182
900	339113	601822
901	339480	601430
902	339832	601010
903	340181	600585
904	340545	600188
